person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
40.0,male,Bachelor,29903.84,2,RENT,13733.3,EDUCATION,12.36,0.46,16.0,576,Yes,0
50.0,female,Associate,26934.6,2,RENT,7956.09,HOMEIMPROVEMENT,10.89,0.3,18.0,636,No,0
44.0,male,High School,85782.16,13,MORTGAGE,18485.29,MEDICAL,17.66,0.22,10.0,580,Yes,0
38.0,female,Bachelor,73372.73,18,OTHER,8862.11,HOMEIMPROVEMENT,17.04,0.12,11.0,589,No,0
52.0,male,High School,67027.74,27,MORTGAGE,16542.21,HOMEIMPROVEMENT,15.14,0.25,21.0,635,Yes,0
36.0,male,High School,50197.96,9,OWN,13216.65,PERSONAL,17.04,0.26,11.0,596,Yes,0
39.0,female,Associate,49329.24,16,RENT,12512.9,VENTURE,13.16,0.25,9.0,635,No,1
46.0,female,High School,38882.81,13,RENT,17209.14,EDUCATION,13.61,0.44,16.0,599,No,0
53.0,female,Associate,78556.88,22,MORTGAGE,24952.0,HOMEIMPROVEMENT,12.14,0.32,10.0,655,Yes,0
51.0,male,Bachelor,40555.74,19,RENT,9369.41,PERSONAL,13.09,0.23,23.0,639,No,1
47.0,male,High School,94843.61,18,MORTGAGE,20312.98,DEBTCONSOLIDATION,17.19,0.21,19.0,598,Yes,0
34.0,female,Associate,31140.94,7,OWN,6693.98,PERSONAL,14.17,0.21,11.0,607,No,0
41.0,male,Associate,78680.75,17,MORTGAGE,15056.23,HOMEIMPROVEMENT,13.69,0.19,9.0,591,Yes,0
42.0,male,High School,49231.4,15,RENT,20229.58,EDUCATION,15.15,0.41,9.0,627,No,0
38.0,male,Bachelor,38263.83,5,RENT,8129.11,PERSONAL,13.98,0.21,11.0,598,No,0
32.0,male,High School,47994.77,14,MORTGAGE,20967.91,EDUCATION,15.26,0.44,6.0,595,No,0
46.0,female,Master,77655.99,14,RENT,25238.65,EDUCATION,17.69,0.33,10.0,566,Yes,0
51.0,female,Bachelor,25963.8,20,RENT,6210.81,MEDICAL,15.17,0.24,21.0,588,Yes,0
42.0,female,Associate,42681.89,13,RENT,8610.81,EDUCATION,16.49,0.2,7.0,562,Yes,0
53.0,male,Master,37341.33,11,OTHER,9184.77,EDUCATION,18.71,0.25,9.0,519,Yes,0
35.0,female,Associate,47392.7,1,MORTGAGE,18265.31,DEBTCONSOLIDATION,18.28,0.39,11.0,531,No,0
37.0,female,High School,30063.9,4,RENT,11551.63,HOMEIMPROVEMENT,15.94,0.38,7.0,521,No,0
46.0,female,Associate,81220.15,27,MORTGAGE,30415.15,EDUCATION,13.52,0.37,19.0,603,Yes,0
41.0,female,Bachelor,46064.53,23,RENT,21564.29,EDUCATION,13.49,0.47,12.0,593,Yes,0
51.0,female,Bachelor,26317.62,5,OWN,4282.17,HOMEIMPROVEMENT,15.53,0.16,18.0,594,Yes,0
49.0,male,Bachelor,35679.03,18,MORTGAGE,4576.96,PERSONAL,16.03,0.13,8.0,551,No,0
41.0,female,Master,177047.64,6,MORTGAGE,35000.0,HOMEIMPROVEMENT,16.15,0.2,11.0,589,Yes,0
35.0,female,Master,312256.13,10,OWN,35000.0,MEDICAL,12.0,0.11,12.0,622,Yes,1
41.0,female,High School,103984.66,15,MORTGAGE,16644.5,DEBTCONSOLIDATION,12.86,0.16,14.0,630,No,0
49.0,female,Master,27428.59,1,RENT,10403.18,DEBTCONSOLIDATION,17.96,0.38,12.0,555,Yes,0
51.0,male,High School,21925.65,32,RENT,5492.91,PERSONAL,14.95,0.25,9.0,586,Yes,0
41.0,female,Master,47696.8,22,RENT,8746.03,EDUCATION,16.24,0.18,7.0,544,Yes,0
32.0,male,High School,55499.74,14,RENT,18778.23,EDUCATION,12.86,0.34,9.0,593,No,0
35.0,female,High School,98792.96,8,RENT,35000.0,DEBTCONSOLIDATION,16.17,0.35,8.0,614,Yes,0
48.0,male,Associate,79272.64,22,MORTGAGE,27527.53,VENTURE,17.14,0.35,15.0,577,Yes,0
41.0,male,High School,46803.87,23,RENT,18525.15,DEBTCONSOLIDATION,15.65,0.4,16.0,597,Yes,0
42.0,female,Master,39295.07,4,RENT,13495.76,EDUCATION,15.42,0.34,11.0,510,No,0
37.0,female,High School,27503.87,3,RENT,4339.38,PERSONAL,17.09,0.16,9.0,582,Yes,0
37.0,male,Associate,48632.56,16,RENT,18554.95,VENTURE,10.46,0.38,5.0,638,Yes,0
53.0,male,Master,108396.6,11,RENT,35000.0,EDUCATION,12.41,0.32,23.0,689,Yes,0
49.0,male,Bachelor,39199.07,5,RENT,16667.89,HOMEIMPROVEMENT,15.02,0.43,15.0,581,Yes,0
40.0,male,Bachelor,60468.76,4,OTHER,23957.48,HOMEIMPROVEMENT,17.36,0.4,16.0,604,Yes,0
45.0,male,Doctorate,108154.88,19,RENT,19063.26,MEDICAL,15.95,0.18,10.0,632,Yes,1
47.0,female,High School,37916.47,11,RENT,12264.24,PERSONAL,21.04,0.32,10.0,527,Yes,0
62.0,male,Associate,36576.92,13,MORTGAGE,7718.38,EDUCATION,13.44,0.21,11.0,579,No,1
37.0,male,High School,42914.26,19,OTHER,8389.63,MEDICAL,16.93,0.2,11.0,586,No,1
47.0,female,High School,41603.27,29,RENT,11579.68,MEDICAL,15.5,0.28,15.0,606,Yes,0
53.0,male,High School,25492.48,14,RENT,9888.27,VENTURE,14.87,0.39,14.0,571,No,0
60.0,male,Bachelor,83463.42,9,MORTGAGE,30954.44,DEBTCONSOLIDATION,13.71,0.37,17.0,622,Yes,0
39.0,male,High School,87580.39,18,MORTGAGE,35000.0,DEBTCONSOLIDATION,18.89,0.4,8.0,557,No,0
41.0,male,Bachelor,66534.42,18,RENT,35000.0,VENTURE,15.84,0.53,10.0,565,Yes,0
51.0,female,Bachelor,65403.24,25,RENT,14493.33,EDUCATION,12.59,0.22,13.0,621,No,1
34.0,female,Associate,55637.53,3,OWN,17657.26,PERSONAL,18.32,0.32,7.0,556,No,0
47.0,male,Bachelor,57926.91,8,RENT,10361.8,PERSONAL,15.94,0.18,20.0,619,Yes,0
67.0,female,High School,57069.06,4,RENT,12144.29,PERSONAL,13.52,0.21,25.0,669,No,1
48.0,female,Bachelor,63570.41,17,OTHER,16474.22,MEDICAL,12.26,0.26,19.0,623,Yes,0
30.0,female,Associate,48422.59,0,MORTGAGE,8456.4,PERSONAL,12.88,0.17,6.0,539,Yes,0
38.0,female,Master,180822.64,17,OWN,35000.0,PERSONAL,17.54,0.19,8.0,656,No,0
39.0,female,Bachelor,96390.67,6,MORTGAGE,35000.0,VENTURE,12.36,0.36,15.0,675,No,1
55.0,female,Bachelor,60341.08,23,RENT,15818.11,PERSONAL,18.96,0.26,13.0,591,Yes,0
43.0,male,Associate,66494.45,4,RENT,16484.21,MEDICAL,15.03,0.25,18.0,626,No,0
32.0,male,Associate,22322.0,3,MORTGAGE,5061.52,EDUCATION,17.8,0.23,10.0,546,Yes,0
44.0,female,Associate,36784.64,7,OTHER,10586.44,MEDICAL,14.65,0.29,9.0,529,No,0
46.0,female,Bachelor,101530.13,25,OWN,18600.47,HOMEIMPROVEMENT,18.3,0.18,9.0,610,No,0
40.0,female,Bachelor,138450.15,22,MORTGAGE,23543.58,HOMEIMPROVEMENT,13.64,0.17,9.0,646,No,0
37.0,female,Bachelor,37975.63,11,MORTGAGE,4511.05,PERSONAL,16.65,0.12,11.0,546,Yes,0
69.0,female,High School,32365.15,5,RENT,9048.93,EDUCATION,14.81,0.28,24.0,660,No,0
53.0,female,Master,84511.92,35,MORTGAGE,35000.0,VENTURE,11.25,0.41,24.0,664,No,1
54.0,female,Master,65577.08,10,RENT,14269.82,MEDICAL,16.86,0.22,27.0,638,No,1
43.0,male,High School,21401.01,17,RENT,7158.98,DEBTCONSOLIDATION,12.82,0.33,12.0,605,Yes,0
39.0,male,High School,42144.58,5,OWN,11668.03,EDUCATION,16.78,0.28,5.0,555,Yes,0
41.0,male,Bachelor,28781.05,10,MORTGAGE,13774.76,VENTURE,16.13,0.48,17.0,570,Yes,0
35.0,male,High School,53167.95,0,RENT,6295.42,MEDICAL,20.09,0.12,8.0,512,Yes,0
61.0,female,High School,79330.51,19,RENT,16988.3,MEDICAL,9.13,0.21,22.0,709,No,1
43.0,male,Bachelor,43803.99,17,MORTGAGE,4652.54,PERSONAL,13.02,0.11,14.0,603,Yes,0
58.0,female,Bachelor,35481.96,36,RENT,9384.3,MEDICAL,12.03,0.26,25.0,726,No,1
41.0,male,High School,41350.08,22,OWN,16628.28,EDUCATION,12.15,0.4,11.0,572,Yes,0
49.0,female,Master,65066.48,31,MORTGAGE,7533.54,PERSONAL,11.15,0.12,8.0,609,No,1
46.0,male,High School,39302.4,28,RENT,10657.34,MEDICAL,14.08,0.27,16.0,573,No,1
34.0,female,High School,34914.43,6,RENT,6398.7,HOMEIMPROVEMENT,17.05,0.18,8.0,521,Yes,0
63.0,male,High School,22988.68,12,RENT,10908.25,DEBTCONSOLIDATION,12.07,0.47,23.0,605,No,0
41.0,female,Master,140601.09,3,RENT,35000.0,DEBTCONSOLIDATION,13.94,0.25,9.0,663,Yes,0
36.0,female,Master,44514.42,3,RENT,11707.12,DEBTCONSOLIDATION,17.75,0.26,5.0,552,Yes,0
51.0,female,High School,48916.46,1,RENT,18078.81,EDUCATION,12.02,0.37,10.0,603,Yes,0
44.0,female,Bachelor,39695.52,19,RENT,7737.42,VENTURE,14.53,0.19,14.0,669,No,1
48.0,female,High School,36067.3,9,RENT,11960.86,HOMEIMPROVEMENT,15.26,0.33,17.0,631,Yes,0
45.0,female,High School,47203.11,14,RENT,13728.72,EDUCATION,15.35,0.29,8.0,602,No,0
30.0,male,High School,34532.69,4,RENT,11192.07,VENTURE,19.04,0.32,6.0,550,Yes,0
38.0,female,Master,61405.19,11,RENT,7779.55,PERSONAL,15.45,0.13,11.0,637,No,0
38.0,male,Associate,32295.11,8,RENT,13708.34,DEBTCONSOLIDATION,16.06,0.42,9.0,574,No,0
54.0,male,Bachelor,51896.1,21,MORTGAGE,16658.84,DEBTCONSOLIDATION,12.79,0.32,22.0,679,No,1
45.0,male,High School,23023.31,4,RENT,2049.08,PERSONAL,16.64,0.09,19.0,583,Yes,0
49.0,male,Master,99672.19,28,OTHER,29447.97,VENTURE,13.38,0.3,13.0,655,Yes,0
42.0,male,Doctorate,213375.89,12,MORTGAGE,35000.0,DEBTCONSOLIDATION,14.14,0.16,16.0,685,Yes,0
50.0,female,High School,50290.74,22,MORTGAGE,9422.53,PERSONAL,17.44,0.19,12.0,586,Yes,0
43.0,female,Bachelor,89029.91,24,MORTGAGE,20891.78,HOMEIMPROVEMENT,16.39,0.23,13.0,572,No,0
43.0,female,Bachelor,82146.36,2,OWN,9889.35,MEDICAL,13.83,0.12,17.0,622,No,1
46.0,male,Doctorate,62109.69,6,MORTGAGE,17113.43,EDUCATION,12.56,0.28,19.0,630,No,1
45.0,female,Associate,18610.6,15,MORTGAGE,3201.74,EDUCATION,17.42,0.17,12.0,540,No,1
70.0,male,High School,43710.75,36,MORTGAGE,17231.11,EDUCATION,15.09,0.39,30.0,690,No,0
38.0,male,Associate,64361.03,9,OWN,16555.67,PERSONAL,16.65,0.26,10.0,591,Yes,0
34.0,male,Bachelor,126110.34,0,OWN,19807.35,PERSONAL,10.62,0.16,9.0,633,No,1
47.0,female,Associate,30092.06,20,OWN,3319.35,MEDICAL,16.71,0.11,15.0,609,No,1
39.0,female,High School,65313.51,14,RENT,16013.91,MEDICAL,13.62,0.25,11.0,616,No,0
30.0,male,Bachelor,52589.46,0,MORTGAGE,6132.09,HOMEIMPROVEMENT,17.58,0.12,3.0,531,Yes,0
36.0,male,Master,62574.98,17,MORTGAGE,19750.14,MEDICAL,13.85,0.32,12.0,586,Yes,0
70.0,male,Associate,31045.52,47,RENT,6431.09,DEBTCONSOLIDATION,13.23,0.21,21.0,649,No,1
38.0,male,Bachelor,37571.1,5,RENT,6134.2,HOMEIMPROVEMENT,12.81,0.16,6.0,532,Yes,0
32.0,female,Associate,55905.7,9,OWN,10714.89,VENTURE,15.73,0.19,6.0,552,Yes,0
69.0,female,Bachelor,123341.05,42,MORTGAGE,32242.21,MEDICAL,10.78,0.26,15.0,683,No,1
36.0,female,High School,8819.57,8,RENT,3030.72,PERSONAL,13.17,0.34,5.0,553,Yes,0
70.0,female,Associate,50031.19,4,MORTGAGE,13655.19,PERSONAL,17.1,0.27,23.0,639,No,1
41.0,male,Associate,31508.44,9,RENT,12940.67,HOMEIMPROVEMENT,14.95,0.41,11.0,581,No,0
63.0,female,Doctorate,71154.63,16,OWN,12779.76,PERSONAL,14.85,0.18,30.0,722,No,1
42.0,female,High School,50415.53,20,OWN,6366.89,PERSONAL,13.61,0.13,11.0,637,No,1
49.0,male,Associate,94389.75,0,MORTGAGE,33125.71,EDUCATION,14.8,0.35,20.0,632,No,1
43.0,female,Associate,36126.66,24,RENT,8941.5,DEBTCONSOLIDATION,14.0,0.25,14.0,656,No,0
42.0,male,Master,63467.56,8,RENT,19384.19,VENTURE,12.77,0.31,12.0,638,Yes,0
47.0,female,Associate,19683.86,11,RENT,7904.74,HOMEIMPROVEMENT,17.03,0.4,8.0,560,No,0
49.0,female,Associate,52262.36,9,MORTGAGE,12757.86,HOMEIMPROVEMENT,18.45,0.24,21.0,600,No,1
46.0,female,Bachelor,32687.91,0,RENT,3956.2,HOMEIMPROVEMENT,16.65,0.12,16.0,569,Yes,0
45.0,female,Associate,106598.72,19,MORTGAGE,35000.0,DEBTCONSOLIDATION,14.01,0.33,10.0,614,Yes,0
39.0,female,Bachelor,71183.22,16,RENT,11955.3,PERSONAL,16.27,0.17,8.0,572,Yes,0
44.0,male,Bachelor,45107.98,7,RENT,7472.89,PERSONAL,17.4,0.17,16.0,561,No,0
61.0,female,Bachelor,43817.91,5,MORTGAGE,20297.33,DEBTCONSOLIDATION,14.22,0.46,28.0,607,No,0
38.0,female,Bachelor,72337.21,17,OWN,13050.89,MEDICAL,14.8,0.18,12.0,587,Yes,0
47.0,female,High School,57835.09,20,RENT,29469.74,DEBTCONSOLIDATION,15.21,0.51,10.0,570,No,0
57.0,female,Bachelor,30822.41,11,RENT,3095.13,MEDICAL,18.26,0.1,11.0,506,Yes,0
49.0,male,Doctorate,89854.55,21,RENT,35000.0,VENTURE,15.66,0.39,15.0,656,Yes,0
54.0,male,Associate,41267.97,8,RENT,11500.6,MEDICAL,14.0,0.28,19.0,643,No,1
36.0,female,Bachelor,62391.22,12,MORTGAGE,23107.72,DEBTCONSOLIDATION,16.05,0.37,9.0,600,No,0
47.0,female,Bachelor,111015.31,14,MORTGAGE,12201.59,PERSONAL,16.98,0.11,15.0,555,Yes,0
42.0,female,Bachelor,24258.59,4,MORTGAGE,2177.92,PERSONAL,11.78,0.09,15.0,572,Yes,1
42.0,male,Associate,75033.77,16,MORTGAGE,33021.18,DEBTCONSOLIDATION,13.9,0.44,13.0,622,No,0
60.0,male,Doctorate,94891.07,7,RENT,31576.64,PERSONAL,9.58,0.33,15.0,657,No,1
42.0,female,High School,32762.12,22,OWN,15494.63,DEBTCONSOLIDATION,12.04,0.47,6.0,640,No,0
47.0,male,High School,47479.56,3,OWN,11458.05,PERSONAL,12.28,0.24,14.0,584,Yes,0
32.0,female,High School,30222.0,12,MORTGAGE,7343.74,DEBTCONSOLIDATION,16.03,0.24,5.0,553,Yes,0
63.0,female,Bachelor,23013.69,13,OTHER,3609.12,PERSONAL,12.98,0.16,20.0,626,No,1
53.0,male,Bachelor,10976.51,18,OWN,3250.52,PERSONAL,16.43,0.3,13.0,559,Yes,0
44.0,male,Bachelor,35524.53,23,RENT,10877.06,PERSONAL,16.98,0.31,13.0,569,No,0
42.0,female,High School,32836.6,24,OWN,10774.31,HOMEIMPROVEMENT,13.91,0.33,9.0,610,No,0
50.0,female,Bachelor,64776.73,16,MORTGAGE,30962.34,EDUCATION,13.09,0.48,13.0,625,No,0
57.0,male,High School,48611.85,11,MORTGAGE,15063.89,MEDICAL,15.48,0.31,13.0,582,Yes,0
63.0,female,Bachelor,58823.66,34,RENT,7505.2,EDUCATION,15.4,0.13,25.0,614,Yes,0
53.0,male,High School,21565.09,35,MORTGAGE,4604.7,MEDICAL,14.29,0.21,21.0,562,Yes,0
45.0,male,Associate,34163.55,8,RENT,9414.28,MEDICAL,13.92,0.28,14.0,580,No,0
54.0,female,Associate,40548.35,14,MORTGAGE,16278.89,HOMEIMPROVEMENT,15.38,0.4,27.0,646,No,1
52.0,male,Associate,124864.02,29,MORTGAGE,29041.75,VENTURE,15.05,0.23,16.0,647,No,1
45.0,male,Bachelor,68655.38,7,RENT,23177.24,HOMEIMPROVEMENT,16.61,0.34,9.0,608,No,0
52.0,male,Doctorate,41173.29,19,MORTGAGE,12672.1,VENTURE,14.82,0.31,23.0,644,No,1
52.0,male,Bachelor,48654.7,13,OWN,16770.43,PERSONAL,16.1,0.34,16.0,534,Yes,0
44.0,female,Associate,63142.25,13,OTHER,12691.99,DEBTCONSOLIDATION,9.85,0.2,11.0,659,No,1
40.0,female,Associate,45044.21,13,OTHER,9855.89,PERSONAL,18.06,0.22,11.0,493,No,0
51.0,male,Bachelor,26764.69,17,MORTGAGE,9287.43,EDUCATION,19.29,0.35,10.0,554,Yes,0
37.0,male,Associate,63195.08,9,OWN,13637.43,MEDICAL,16.6,0.22,13.0,558,Yes,1
35.0,female,Bachelor,61331.43,6,RENT,22701.57,HOMEIMPROVEMENT,14.15,0.37,11.0,597,Yes,0
47.0,female,Bachelor,43438.53,1,MORTGAGE,14263.63,EDUCATION,12.84,0.33,21.0,564,Yes,0
50.0,male,Associate,34997.13,25,RENT,8717.05,PERSONAL,11.09,0.25,16.0,634,Yes,0
47.0,male,Master,113975.97,10,RENT,35000.0,HOMEIMPROVEMENT,14.34,0.31,12.0,602,Yes,0
48.0,female,High School,12590.37,2,MORTGAGE,1353.13,MEDICAL,15.41,0.11,10.0,575,Yes,0
30.0,male,Bachelor,23509.97,6,RENT,6943.03,PERSONAL,17.61,0.3,7.0,463,Yes,0
50.0,female,Associate,36271.55,27,OWN,11533.69,DEBTCONSOLIDATION,16.54,0.32,12.0,589,Yes,0
60.0,female,High School,50766.92,28,OTHER,19944.51,DEBTCONSOLIDATION,12.56,0.39,17.0,650,No,0
53.0,male,High School,20971.23,21,RENT,4814.69,MEDICAL,14.85,0.23,9.0,531,Yes,0
52.0,male,Bachelor,50968.43,33,RENT,13373.55,DEBTCONSOLIDATION,14.73,0.26,25.0,675,Yes,0
47.0,female,High School,34514.03,20,MORTGAGE,8032.2,EDUCATION,14.45,0.23,19.0,627,Yes,0
47.0,male,Master,100179.19,28,OWN,19015.15,DEBTCONSOLIDATION,12.97,0.19,18.0,660,No,0
43.0,female,Associate,44473.91,23,MORTGAGE,8204.74,EDUCATION,13.45,0.18,16.0,600,Yes,0
48.0,male,Associate,40019.56,15,MORTGAGE,8678.42,DEBTCONSOLIDATION,11.67,0.22,20.0,644,No,1
36.0,female,Bachelor,33014.32,1,MORTGAGE,4886.05,HOMEIMPROVEMENT,13.96,0.15,6.0,553,No,0
60.0,female,High School,74302.8,24,OWN,23621.74,HOMEIMPROVEMENT,13.62,0.32,20.0,654,No,1
38.0,female,High School,56182.11,19,RENT,14693.39,DEBTCONSOLIDATION,16.58,0.26,9.0,564,Yes,0
53.0,male,Associate,71546.31,25,OTHER,25626.39,HOMEIMPROVEMENT,14.17,0.36,10.0,567,Yes,0
58.0,female,Bachelor,36347.96,9,MORTGAGE,12718.6,PERSONAL,12.92,0.35,22.0,635,Yes,0
53.0,female,Associate,40534.32,30,MORTGAGE,14031.33,DEBTCONSOLIDATION,14.99,0.35,11.0,573,No,0
70.0,male,Associate,66463.5,44,RENT,20454.63,VENTURE,9.8,0.31,28.0,746,No,1
31.0,female,Bachelor,40600.1,10,OTHER,9720.63,DEBTCONSOLIDATION,12.51,0.24,8.0,634,Yes,0
41.0,female,Master,38595.82,3,RENT,8286.81,EDUCATION,17.71,0.21,7.0,525,Yes,0
58.0,male,Associate,60509.52,29,MORTGAGE,8934.1,PERSONAL,14.27,0.15,13.0,585,No,0
35.0,female,Bachelor,30480.37,15,RENT,6299.15,PERSONAL,15.42,0.21,12.0,596,No,0
38.0,male,High School,31500.26,9,RENT,3970.56,MEDICAL,14.97,0.13,12.0,585,Yes,0
49.0,male,Associate,77762.03,21,MORTGAGE,10475.88,PERSONAL,13.51,0.13,20.0,641,No,1
45.0,male,Associate,55622.93,24,RENT,8196.88,VENTURE,13.57,0.15,9.0,609,No,0
49.0,male,Associate,30257.68,23,RENT,4914.52,MEDICAL,10.82,0.16,18.0,639,Yes,0
46.0,male,High School,51164.33,19,RENT,7151.76,DEBTCONSOLIDATION,15.18,0.14,9.0,555,Yes,1
47.0,male,High School,27102.61,12,RENT,3993.59,PERSONAL,15.88,0.15,13.0,550,Yes,0
39.0,female,Associate,58107.65,3,RENT,11103.72,MEDICAL,17.61,0.19,6.0,489,Yes,0
46.0,female,High School,43720.03,7,MORTGAGE,7490.9,DEBTCONSOLIDATION,15.44,0.17,12.0,519,Yes,0
41.0,male,Associate,38017.93,14,RENT,9411.13,HOMEIMPROVEMENT,14.19,0.25,17.0,571,No,1
42.0,female,Associate,32871.17,18,MORTGAGE,12448.28,EDUCATION,16.76,0.38,14.0,582,No,0
53.0,female,High School,23584.11,11,RENT,5251.49,DEBTCONSOLIDATION,12.74,0.22,9.0,589,Yes,0
35.0,female,Bachelor,186680.14,6,OWN,21294.95,HOMEIMPROVEMENT,14.86,0.11,11.0,658,No,1
29.0,female,Associate,11900.29,2,RENT,1051.62,PERSONAL,14.43,0.09,5.0,545,Yes,0
52.0,male,High School,15180.19,12,MORTGAGE,4338.24,PERSONAL,16.7,0.29,13.0,568,Yes,0
46.0,male,High School,69162.61,18,OWN,23501.24,HOMEIMPROVEMENT,13.16,0.34,10.0,671,No,1
58.0,male,Bachelor,71903.03,0,OWN,35000.0,DEBTCONSOLIDATION,10.79,0.49,18.0,566,Yes,0
38.0,male,Bachelor,68199.59,13,OWN,20485.25,DEBTCONSOLIDATION,19.41,0.3,8.0,570,Yes,0
44.0,male,Bachelor,17355.08,1,MORTGAGE,7203.28,VENTURE,18.0,0.42,18.0,596,No,0
45.0,male,High School,57141.87,26,RENT,24129.33,VENTURE,12.62,0.42,16.0,584,No,0
40.0,female,Bachelor,36934.48,17,RENT,7755.17,VENTURE,16.36,0.21,16.0,592,No,1
37.0,female,Associate,46137.84,19,MORTGAGE,8812.46,EDUCATION,16.3,0.19,5.0,512,Yes,0
52.0,female,Master,86731.09,12,MORTGAGE,35000.0,DEBTCONSOLIDATION,12.98,0.4,9.0,578,Yes,1
34.0,female,Bachelor,65881.44,6,MORTGAGE,9159.43,HOMEIMPROVEMENT,12.24,0.14,9.0,626,No,0
36.0,female,High School,25263.5,9,MORTGAGE,3537.64,EDUCATION,15.87,0.14,10.0,569,Yes,0
43.0,female,Master,118605.01,4,MORTGAGE,35000.0,HOMEIMPROVEMENT,12.18,0.3,15.0,688,No,0
54.0,male,Associate,78641.37,26,RENT,26057.95,EDUCATION,13.4,0.33,19.0,694,No,1
40.0,male,Master,37952.1,3,OWN,8950.28,DEBTCONSOLIDATION,18.77,0.24,6.0,494,No,0
39.0,male,Associate,37624.57,18,OWN,15116.47,VENTURE,17.32,0.4,12.0,547,Yes,0
43.0,male,Associate,35841.84,25,RENT,15246.03,EDUCATION,15.28,0.43,17.0,665,Yes,0
48.0,female,Bachelor,50368.35,7,MORTGAGE,8988.75,MEDICAL,15.09,0.18,18.0,603,No,0
42.0,male,High School,47908.52,9,OWN,13131.72,MEDICAL,15.78,0.27,16.0,547,Yes,0
55.0,male,Bachelor,18624.84,1,MORTGAGE,6337.2,HOMEIMPROVEMENT,14.82,0.34,17.0,614,No,0
56.0,male,High School,13773.37,13,RENT,1978.9,MEDICAL,17.77,0.14,11.0,621,No,0
43.0,female,High School,21643.55,5,OWN,5243.51,HOMEIMPROVEMENT,14.02,0.24,17.0,639,Yes,0
66.0,male,Associate,103006.84,30,OWN,25949.69,MEDICAL,9.67,0.25,30.0,723,No,1
45.0,male,Doctorate,110415.54,22,MORTGAGE,35000.0,DEBTCONSOLIDATION,12.16,0.32,14.0,674,No,1
55.0,male,Doctorate,160102.52,2,MORTGAGE,23971.62,VENTURE,12.8,0.15,12.0,643,Yes,0
48.0,male,Associate,36422.49,5,MORTGAGE,7070.08,MEDICAL,18.49,0.19,10.0,530,No,1
47.0,female,Bachelor,40656.1,19,OWN,6972.82,MEDICAL,12.9,0.17,10.0,620,No,1
33.0,male,High School,14658.45,7,RENT,7080.97,VENTURE,17.22,0.48,5.0,528,Yes,0
36.0,male,Associate,30734.71,16,MORTGAGE,11514.25,HOMEIMPROVEMENT,14.66,0.37,12.0,647,No,1
42.0,female,Doctorate,69126.6,19,MORTGAGE,31413.3,EDUCATION,17.7,0.45,11.0,586,Yes,0
56.0,male,Bachelor,19904.96,28,RENT,5347.71,PERSONAL,14.56,0.27,15.0,595,No,0
48.0,female,Bachelor,43948.98,30,OWN,20581.99,EDUCATION,17.34,0.47,13.0,570,No,0
42.0,female,High School,23223.06,10,OWN,7429.51,MEDICAL,16.77,0.32,9.0,585,No,0
50.0,male,Bachelor,64297.06,21,RENT,16391.58,PERSONAL,10.31,0.25,16.0,686,No,1
55.0,male,Doctorate,73722.84,4,MORTGAGE,10440.46,DEBTCONSOLIDATION,13.77,0.14,18.0,641,No,0
45.0,male,Doctorate,85390.88,2,RENT,18526.11,EDUCATION,14.38,0.22,19.0,623,No,0
47.0,male,Bachelor,23088.38,7,RENT,5317.3,DEBTCONSOLIDATION,21.28,0.23,10.0,544,Yes,0
